,fips_code,blue_percentage
495,6017.0,0.3889690247993931
498,6019.0,0.500642889780709
501,6021.0,0.3236536430834213
504,6023.0,0.5603753839921682
507,6025.0,0.6792747083653906
510,6027.0,0.39018055899084836
513,6029.0,0.4041931005107244
516,6031.0,0.40150375939849625
519,6033.0,0.46930111038536904
522,6035.0,0.2113264918282022
525,6037.0,0.7175722154215638
528,6039.0,0.3949944331044721
531,6041.0,0.7805317613607806
534,6043.0,0.3516953925875859
537,6045.0,0.5891346692638152
540,6047.0,0.5271581742926161
543,6049.0,0.23152059134107708
546,6051.0,0.525587566338135
549,6053.0,0.6677860398177021
552,6055.0,0.6387114645115036
555,6057.0,0.47425138800400474
558,6059.0,0.5093530718876746
561,6061.0,0.40204223387789256
564,6063.0,0.357482430756511
567,6065.0,0.49733760452281167
570,6067.0,0.5828813044177855
573,6069.0,0.571109286626528
576,6071.0,0.5211649232472404
579,6073.0,0.5629791794243724
582,6075.0,0.8503962621244381
585,6077.0,0.5403317184586423
588,6079.0,0.4970557518387663
591,6081.0,0.7566606443075984
594,6083.0,0.6060547780932879
597,6085.0,0.7271244221688227
600,6087.0,0.7393903167961745
603,6089.0,0.2785779421133499
606,6091.0,0.3284153005464481
609,6093.0,0.35301581104821395
612,6095.0,0.6162070397861696
615,6097.0,0.6937639727917043
618,6099.0,0.474289266088088
621,6101.0,0.390060555439549
624,6103.0,0.28480006692320564
627,6105.0,0.38937741822018995
630,6107.0,0.42360282728292414
633,6109.0,0.35735829840573463
636,6111.0,0.5527086425228729
639,6113.0,0.6669752710439761
642,6115.0,0.3439429515610053
645,8001.0,0.4985826039811014
648,8003.0,0.45957630782533504
651,8005.0,0.5275931706737591
654,8007.0,0.34064586455920426
657,8009.0,0.13144449605202044
660,8011.0,0.3061754021795537
663,8013.0,0.7033729842353116
666,8014.0,0.5235214518825121
669,8015.0,0.43448888888888887
672,8017.0,0.11978221415607986
675,8019.0,0.4652233208319127
678,8021.0,0.44032819492789654
681,8023.0,0.6087662337662337
684,8025.0,0.2220039292730845
687,8027.0,0.2599478147423353
690,8029.0,0.24341870160810006
693,8031.0,0.7369279076214698
696,8033.0,0.19282868525896416
699,8035.0,0.36617261958730446
702,8037.0,0.5589739523450818
705,8039.0,0.19614469896107148
708,8041.0,0.3386243718002176
711,8043.0,0.2410685841714832
714,8045.0,0.4258027956176804
717,8047.0,0.4569351230425056
720,8049.0,0.3910107126222636
723,8051.0,0.5448363790905227
726,8053.0,0.33446519524617996
729,8055.0,0.4316679883690193
732,8057.0,0.1986062717770035
735,8059.0,0.4888561855011828
738,8061.0,0.1064327485380117
741,8063.0,0.14478660183684494
744,8065.0,0.5051578618318224
747,8067.0,0.4983948635634029
750,8069.0,0.475114807633432
753,8071.0,0.390107463565435
756,8073.0,0.16789819376026272
759,8075.0,0.19039292326681753
762,8077.0,0.2798217712129602
765,8079.0,0.36349693251533743
768,8081.0,0.1339463601532567
771,8083.0,0.30899051174366154
774,8085.0,0.2580005664117814
777,8087.0,0.26346153846153847
780,8089.0,0.34820160908660674
783,8091.0,0.5126888217522658
786,8093.0,0.32840549102428723
789,8095.0,0.18696397941680962
792,8097.0,0.6968545091703887
795,8099.0,0.2364433811802233
798,8101.0,0.45615797370495637
801,8103.0,0.1263768115942029
804,8105.0,0.3615829418142392
807,8107.0,0.5434005434005434
810,8109.0,0.4998236331569665
813,8111.0,0.5237154150197628
816,8113.0,0.6872256872256872
819,8115.0,0.19574780058651026
822,8117.0,0.5908866081365154
825,8119.0,0.24944613680420935
828,8121.0,0.10830589096231248
831,8123.0,0.3434961750893464
834,8125.0,0.15153412648716344
837,9001.0,0.5789334985719679
840,9003.0,0.5908682016595226
843,9005.0,0.40819153958252086
846,9007.0,0.511791388337245
849,9009.0,0.5424953694664464
852,9011.0,0.5041609999352373
855,9013.0,0.4973393263070882
858,9015.0,0.4287822442594888
861,10001.0,0.4470763291241052
864,10003.0,0.6209016315346182
867,10005.0,0.3710380348652932
870,11001.0,0.9086382152999987
873,12001.0,0.5897130768213672
876,12003.0,0.16716795947443408
879,12005.0,0.24924245023040947
882,12007.0,0.24169284179203174
885,12009.0,0.38023269113460756
888,12011.0,0.6650872467248672
891,12013.0,0.20407827659924355
894,12015.0,0.34703343225351235
897,12017.0,0.28593475533249685
900,12019.0,0.2612811434689105
903,12021.0,0.35766354976023046
906,12023.0,0.26477862542237085
909,12027.0,0.34951007579959326
912,12029.0,0.17633990558178284
915,12031.0,0.47540184194409457
918,12033.0,0.37687005227292103
921,12035.0,0.38304088482340054
924,12037.0,0.28994181213632586
927,12039.0,0.6792384570162348
930,12041.0,0.17315914489311163
933,12043.0,0.291982540776476
936,12045.0,0.23584258878376527
939,12047.0,0.3487179487179487
942,12049.0,0.28339707239878675
945,12051.0,0.4152046783625731
948,12053.0,0.33898034031301977
951,12055.0,0.32694917480190866
954,12057.0,0.5151691597229194
957,12059.0,0.10018792576932112
960,12061.0,0.36299666287542653
963,12063.0,0.3040254740744261
966,12065.0,0.4631785480706344
969,12067.0,0.15271226415094338
972,12069.0,0.36863347842921
975,12071.0,0.3826603762024386
978,12073.0,0.6051849709462835
981,12075.0,0.26300592936323797
984,12077.0,0.1975121359223301
987,12079.0,0.4145796590241035
990,12081.0,0.3979928251321539
993,12083.0,0.3551287922152261
996,12085.0,0.3518393323386796
999,12086.0,0.636751125275963
1002,12087.0,0.4466076557276708
1005,12089.0,0.233205312506705
1008,12091.0,0.2357840464032522
1011,12093.0,0.2899728997289973
1014,12095.0,0.6038973044711913
1017,12097.0,0.609517424361297
1020,12099.0,0.5656876007802734
1023,12101.0,0.37381759068421117
1026,12103.0,0.4746132740864698
1029,12105.0,0.41303980809949564
1032,12107.0,0.3047981399281336
1035,12109.0,0.31571120910675826
1038,12111.0,0.4748485945742543
1041,12113.0,0.2104279446122286
1044,12115.0,0.4272623688679534
1047,12117.0,0.4709465708594195
1050,12119.0,0.29528468010174136
1053,12121.0,0.21204664598266823
1056,12123.0,0.23164693218514532
1059,12125.0,0.1780821917808219
1062,12127.0,0.4181830727299909
1065,12129.0,0.28323887694612726
1068,12131.0,0.2044177542587032
1071,12133.0,0.20294012190749372
1074,13001.0,0.2045065601825442
1077,13003.0,0.2670498084291188
1080,13005.0,0.15124378109452735
1083,13007.0,0.4513888888888889
1086,13009.0,0.4945395879870936
1089,13011.0,0.09806451612903226
1092,13013.0,0.2264280798348245
1095,13015.0,0.20763590391908976
1098,13017.0,0.3539420485175202
1101,13019.0,0.15887708649468893
1104,13021.0,0.5876893092210365
1107,13023.0,0.22135102533172496
1110,13025.0,0.09823837486113315
